movies_title,release_year,imdb_rating,age_rating,stream_provider,runtime,genre_list,movie_prod_country,movie_url
The Substance,2024,7.4,Age rating not found,"mubi, amazonmubi, amazonprimevideo, amazon",2h 21min,"Science-Fiction, Drama, Horror","United Kingdom, France",https://www.justwatch.com/in/movie/the-substance
The Wild Robot,2024,8.2,Age rating not found,"itunes, zee5, amazon, amazonprimevideo, itunes, itunes, bookmyshow",1h 42min,"Animation, Science-Fiction, Action & Adventure, Kids & Family","Japan, United States",https://www.justwatch.com/in/movie/the-wild-robot
Kishkindha Kaandam,2024,8.1,UA,"hotstar, amazonprimevideo",2h 13min,"Mystery & Thriller, Drama",India,https://www.justwatch.com/in/movie/kishkkindha-kandam
Bagheera,2024,6.8,UA,"netflix, amazonprimevideo",2h 38min,Action & Adventure,India,https://www.justwatch.com/in/movie/bagheera-2024
Devara Part 1,2024,6.0,UA,"netflix, bookmyshow, amazonprimevideo",2h 56min,"Action & Adventure, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/movie/ntr-30
Sookshma Darshini,2024,8.1,Age rating not found,"bookmyshow, amazonprimevideo",2h 22min,Mystery & Thriller,India,https://www.justwatch.com/in/movie/sookshma-darshini
Carry-On,2024,6.5,Age rating not found,"netflix, amazonprimevideo",1h 59min,"Mystery & Thriller, Action & Adventure, Crime, Drama",United States,https://www.justwatch.com/in/movie/carry-on-2024
Vicky Vidya Ka Woh Wala Video,2024,5.2,UA,"netflix, bookmyshow, amazonprimevideo",2h 32min,Comedy,India,https://www.justwatch.com/in/movie/vicky-vidya-ka-woh-wala-video
Deadpool & Wolverine,2024,7.6,A,"itunes, hotstar, itunes, amazonprimevideo, amazon, itunes",2h 8min,"Comedy, Science-Fiction, Action & Adventure",United States,https://www.justwatch.com/in/movie/deadpool-3
Sikandar Ka Muqaddar,2024,6.0,Age rating not found,"netflix, amazonprimevideo",2h 23min,"Mystery & Thriller, Action & Adventure, Crime, Drama",India,https://www.justwatch.com/in/movie/sikandar-ka-muqaddar
Jigra,2024,6.2,Age rating not found,"netflix, amazonprimevideo",2h 35min,"Drama, Mystery & Thriller, Action & Adventure",India,https://www.justwatch.com/in/movie/jigra-2024
Thangalaan,2024,6.8,UA,"netflix, amazonprimevideo",2h 36min,"Action & Adventure, Fantasy, History, Drama",India,https://www.justwatch.com/in/movie/thangalaan
Vettaiyan,2024,7.1,UA,"amazonprimevideo, amazonprimevideo, amazon, amazonprimevideo",2h 43min,"Crime, Drama, Action & Adventure",India,https://www.justwatch.com/in/movie/vettaiyan
Zebra,2024,8.3,Age rating not found,"aha, amazonprimevideo",2h 44min,"Action & Adventure, Mystery & Thriller, Crime",India,https://www.justwatch.com/in/movie/zebra
Alien: Romulus,2024,7.1,A,"itunes, itunes, amazon, amazonprimevideo, itunes",1h 59min,"Horror, Science-Fiction, Mystery & Thriller","Australia, New Zealand, Canada, United Kingdom, United States, Hungary",https://www.justwatch.com/in/movie/alien-romulus
Salaar,2023,6.6,A,"vimoviesandtv, hotstar, amazonprimevideo, netflix, bookmyshow",2h 55min,"Crime, Drama, Mystery & Thriller, Action & Adventure",India,https://www.justwatch.com/in/movie/salaar
Gladiator,2000,8.5,Age rating not found,"amazonprimevideo, itunes, amazonprimevideo, zee5, amazonprimevideo, amazon, itunes, hungamaplay, itunes",2h 35min,"Action & Adventure, Drama","United Kingdom, United States",https://www.justwatch.com/in/movie/gladiator
Mufasa: The Lion King,2024,6.8,Age rating not found,"bookmyshow, amazonprimevideo",1h 58min,"Drama, Kids & Family, Fantasy, Animation, Action & Adventure",United States,https://www.justwatch.com/in/movie/mufasa-the-lion-king
Bougainvillea,2024,6.4,UA,"sonyliv, amazonprimevideo",2h 18min,"Mystery & Thriller, Action & Adventure, Crime",India,https://www.justwatch.com/in/movie/bougainvillea
We Live in Time,2024,7.0,Age rating not found,"itunes, amazon, itunes, amazonprimevideo, itunes",1h 48min,"Drama, Romance","United Kingdom, France",https://www.justwatch.com/in/movie/we-live-in-time
Anora,2024,8.0,Age rating not found,amazonprimevideo,2h 19min,"Romance, Comedy, Drama",United States,https://www.justwatch.com/in/movie/anora
The Sabarmati Report,2024,6.6,UA,"bookmyshow, amazonprimevideo",2h 7min,"Drama, Mystery & Thriller",India,https://www.justwatch.com/in/movie/the-sabarmati-report
Martin,2024,2.4,UA,"amazonprimevideo, amazonprimevideo, aha, amazonprimevideo",2h 27min,"Mystery & Thriller, Action & Adventure, Drama",India,https://www.justwatch.com/in/movie/martin
365 Days,2020,3.3,Age rating not found,"netflix, amazonprimevideo",1h 54min,"Drama, Romance, Made in Europe",Poland,https://www.justwatch.com/in/movie/365-days
KA,2024,7.2,Age rating not found,"bookmyshow, amazonprimevideo",2h 31min,"Action & Adventure, Mystery & Thriller",India,https://www.justwatch.com/in/movie/ka-2024
Black,2024,7.1,UA,"amazonprimevideo, amazonprimevideo, amazon, amazonprimevideo",2h 30min,"Mystery & Thriller, Science-Fiction, Horror",India,https://www.justwatch.com/in/movie/black-2024
Gladiator II,2024,6.8,Age rating not found,"bookmyshow, amazonprimevideo, amazon",2h 28min,"Action & Adventure, Drama","United Kingdom, Morocco, Canada, Malta, United States",https://www.justwatch.com/in/movie/gladiator-2
Conclave,2024,7.4,Age rating not found,amazonprimevideo,2h 0min,"Drama, Mystery & Thriller","United Kingdom, United States",https://www.justwatch.com/in/movie/conclave
The Reader,2008,7.6,A,"amazonprimevideo, amazonprimevideo, lionsgateplay, amazonprimevideo, amazon",2h 4min,"Drama, Romance, Made in Europe","United States, Germany",https://www.justwatch.com/in/movie/the-reader
Marco,2024,8.7,A,amazonprimevideo,2h 25min,Action & Adventure,India,https://www.justwatch.com/in/movie/marco-2024
Girls Will Be Girls,2024,7.1,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo",1h 59min,"Drama, Romance","United States, France, India, Norway",https://www.justwatch.com/in/movie/girls-will-be-girls-2024
Kill,2024,7.5,A,"hotstar, amazonprimevideo",1h 45min,"Drama, Mystery & Thriller, Action & Adventure, Crime",India,https://www.justwatch.com/in/movie/kill-2024
Meiyazhagan,2024,8.4,U,"netflix, amazonprimevideo",2h 57min,"Kids & Family, Drama",India,https://www.justwatch.com/in/movie/meiyazhagan
Viduthalai: Part I,2023,8.3,A,"vimoviesandtv, zee5, amazonprimevideo",2h 26min,"Mystery & Thriller, Crime, Drama, Action & Adventure",India,https://www.justwatch.com/in/movie/viduthalai-part-1
Heretic,2024,7.1,Age rating not found,"bookmyshow, amazonprimevideo",1h 51min,"Horror, Mystery & Thriller","Canada, United States",https://www.justwatch.com/in/movie/heretic
Naughty,2023,4.8,Age rating not found,"amazon, amazonprimevideo",1h 49min,"Drama, Romance",Russia,https://www.justwatch.com/in/movie/neposlushnaia
Kraven the Hunter,2024,5.4,Age rating not found,amazonprimevideo,2h 7min,"Mystery & Thriller, Action & Adventure",United States,https://www.justwatch.com/in/movie/kraven-the-hunter
Bhool Bhulaiyaa 2,2022,5.7,UA,"netflix, amazonprimevideo",2h 23min,"Horror, Comedy",India,https://www.justwatch.com/in/movie/bhool-bhulaiyaa-2
Juror #2,2024,7.0,Age rating not found,"itunes, itunes, amazon, amazonprimevideo, itunes",1h 53min,"Drama, Crime, Mystery & Thriller",United States,https://www.justwatch.com/in/movie/juror-2
Smile 2,2024,6.8,Age rating not found,"itunes, amazon, itunes, amazonprimevideo, itunes",2h 7min,"Horror, Mystery & Thriller",United States,https://www.justwatch.com/in/movie/smile-2
Moana 2,2024,7.0,Age rating not found,"bookmyshow, amazonprimevideo",1h 40min,"Animation, Action & Adventure, Kids & Family, Comedy, Fantasy","Canada, United States",https://www.justwatch.com/in/movie/moana-2
Kalinga,2024,8.1,Age rating not found,"amazonprimevideo, amazonprimevideo, aha, amazonprimevideo",1h 56min,Horror,India,https://www.justwatch.com/in/movie/kalinga-2024
K.G.F: Chapter 1,2018,8.2,UA,"amazonprimevideo, amazonprimevideo, hotstar, amazonprimevideo, amazon",2h 36min,"Mystery & Thriller, Action & Adventure, Crime, Drama",India,https://www.justwatch.com/in/movie/k-g-f-chapter-1
Animal,2023,6.1,A,"netflix, amazonprimevideo",3h 21min,"Drama, Action & Adventure, Crime, Mystery & Thriller",India,https://www.justwatch.com/in/movie/animal-2022
Harry Potter and the Philosopher's Stone,2001,7.7,U,"itunes, jiocinema, tatasky, amazonprimevideo, itunes, itunes",2h 32min,"Action & Adventure, Fantasy, Kids & Family","United Kingdom, United States",https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
K.G.F: Chapter 2,2022,8.2,UA,"amazonprimevideo, amazonprimevideo, vimoviesandtv, amazonprimevideo, amazon",2h 46min,"Action & Adventure, Crime, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/movie/k-g-f-chapter-2
The Lion King,2019,6.8,U,"itunes, vimoviesandtv, hotstar, amazonprimevideo, amazon, tatasky, itunes, itunes",1h 58min,"Action & Adventure, Drama, Kids & Family, Animation, Fantasy",United States,https://www.justwatch.com/in/movie/the-lion-king-2019
Bloody Beggar,2024,6.2,UA,"amazonprimevideo, amazonprimevideo, sunnxt, amazonprimevideo, amazon",2h 19min,"Comedy, Drama",India,https://www.justwatch.com/in/movie/bloody-beggar-2024
The Wolf of Wall Street,2013,8.2,A,"lionsgateplay, appletvlionsgateplay, amazonprimevideo, amazonlionsgateplay, amazon",3h 0min,"Crime, Drama, Comedy",United States,https://www.justwatch.com/in/movie/the-wolf-of-wall-street
Despatch,2024,4.5,A,"zee5, amazonprimevideo",2h 31min,"Drama, Mystery & Thriller",India,https://www.justwatch.com/in/movie/despatch
Bhagwan Bharose,2023,6.5,UA,amazonprimevideo,1h 37min,"Kids & Family, Drama, Comedy",India,https://www.justwatch.com/in/movie/bhagwan-bharose
Twisters,2024,6.5,UA,"itunes, jiocinema, itunes, amazonprimevideo, amazon, itunes",2h 3min,"Action & Adventure, Mystery & Thriller",United States,https://www.justwatch.com/in/movie/twisters
Dune: Part Two,2024,8.5,UA,"itunes, jiocinema, itunes, amazonprimevideo, amazon, itunes",2h 47min,"Action & Adventure, Science-Fiction, Drama",United States,https://www.justwatch.com/in/movie/dune-part-two
Kalki 2898 AD,2024,7.1,UA,"amazonprimevideo, amazonprimevideo, netflix, amazonprimevideo, amazon, bookmyshow",3h 0min,"Mystery & Thriller, Action & Adventure, Drama, Fantasy, Science-Fiction",India,https://www.justwatch.com/in/movie/kalki-2898-ad
Tumbbad,2018,8.2,A,amazonprimevideo,1h 44min,"Horror, Drama, Fantasy, Mystery & Thriller, Made in Europe","Sweden, India",https://www.justwatch.com/in/movie/tumbbad
Interstellar,2014,8.7,UA,"amazonprimevideo, itunes, amazonprimevideo, jiocinema, amazonprimevideo, netflix, amazon, tatasky, itunes, itunes",2h 49min,"Science-Fiction, Drama","United Kingdom, Canada, United States",https://www.justwatch.com/in/movie/interstellar
Oldboy,2003,8.3,A,"amazonprimevideo, amazonprimevideo, jiocinema, amazonprimevideo",2h 0min,"Action & Adventure, Drama, Mystery & Thriller",South Korea,https://www.justwatch.com/in/movie/oldboy-2003
Queen of Hearts,2019,7.0,Age rating not found,"filmzie, amazonprimevideo",2h 7min,"Drama, Made in Europe","Sweden, Denmark",https://www.justwatch.com/in/movie/queen-of-hearts-2019
A Quiet Place: Day One,2024,6.3,Age rating not found,"amazonprimevideo, itunes, amazonprimevideo, amazon, amazonprimevideo, itunes, itunes",1h 39min,"Mystery & Thriller, Drama, Horror, Science-Fiction","United Kingdom, Canada, United States",https://www.justwatch.com/in/movie/a-quiet-place-day-one
Aavesham,2024,7.8,Age rating not found,"amazonprimevideo, amazonprimevideo, hotstar, amazonprimevideo, amazon",2h 38min,"Comedy, Action & Adventure",India,https://www.justwatch.com/in/movie/aavesham-2024
A.R.M,2024,7.2,UA,"bookmyshow, amazonprimevideo",2h 27min,"Action & Adventure, Drama, Comedy",India,https://www.justwatch.com/in/movie/ajayante-randam-moshanam
Mechanic Rocky,2024,7.0,Age rating not found,"amazonprimevideo, amazonprimevideo, amazon, amazonprimevideo, bookmyshow",2h 33min,"Drama, Action & Adventure",India,https://www.justwatch.com/in/movie/mechanic-rocky-2024
Life,2017,6.6,A,"itunes, netflix, amazon, amazonprimevideo, itunes, itunes",1h 44min,"Mystery & Thriller, Science-Fiction, Horror",United States,https://www.justwatch.com/in/movie/life
My Fault,2023,6.2,A,"amazonprimevideo, amazonprimevideo, amazonprimevideo",1h 57min,"Drama, Romance",Spain,https://www.justwatch.com/in/movie/culpa-mia
The Boy Next Door,2015,4.7,A,"jiocinema, amazon, amazonprimevideo",1h 31min,Mystery & Thriller,United States,https://www.justwatch.com/in/movie/the-boy-next-door
Furiosa: A Mad Max Saga,2024,7.5,A,"itunes, jiocinema, itunes, amazonprimevideo, amazon, itunes",2h 29min,"Action & Adventure, Science-Fiction, Mystery & Thriller","Australia, United States",https://www.justwatch.com/in/movie/furiosa
Maharaja,2024,8.5,Age rating not found,"netflix, amazonprimevideo",2h 21min,"Mystery & Thriller, Action & Adventure, Crime, Drama",India,https://www.justwatch.com/in/movie/maharaja-2024
Transformers One,2024,7.6,U,"itunes, amazon, itunes, amazonprimevideo, itunes",1h 44min,"Animation, Action & Adventure, Kids & Family, Fantasy, Science-Fiction",United States,https://www.justwatch.com/in/movie/transformers-one-2024
Agni,2024,7.5,Age rating not found,"amazonprimevideo, amazonprimevideo, amazon, amazonprimevideo",2h 2min,"Action & Adventure, Drama, Mystery & Thriller","India, United States",https://www.justwatch.com/in/movie/agni
Laila Majnu,2018,7.7,UA,"vimoviesandtv, amazonprimevideo",2h 19min,"Drama, Romance",India,https://www.justwatch.com/in/movie/laila-majnu
28 Days Later,2002,7.5,A,amazonprimevideo,1h 53min,"Horror, Mystery & Thriller, Science-Fiction, Drama",United Kingdom,https://www.justwatch.com/in/movie/28-days-later
Lubber Pandhu,2024,8.2,U,"hotstar, amazonprimevideo",2h 26min,"Comedy, Drama, Sport, Kids & Family, Romance",India,https://www.justwatch.com/in/movie/lubber-pandhu
Subservience,2024,5.4,Age rating not found,amazonprimevideo,1h 46min,"Mystery & Thriller, Science-Fiction, Horror",United States,https://www.justwatch.com/in/movie/subservience
The Voyeurs,2021,6.1,A,"amazonprimevideo, amazonprimevideo, amazonprimevideo",1h 57min,"Mystery & Thriller, Drama, Romance",United States,https://www.justwatch.com/in/movie/the-voyeurs-2021
Fifty Shades of Grey,2015,4.2,Age rating not found,"jiocinema, zee5, amazonprimevideo",2h 5min,"Mystery & Thriller, Drama, Romance",United States,https://www.justwatch.com/in/movie/fifty-shades-of-grey
12th Fail,2023,8.8,Age rating not found,"vimoviesandtv, hotstar, amazonprimevideo, bookmyshow",2h 27min,Drama,India,https://www.justwatch.com/in/movie/12th-fail
Do Patti,2024,6.5,Age rating not found,"netflix, amazonprimevideo",2h 7min,"Mystery & Thriller, Drama, Crime",India,https://www.justwatch.com/in/movie/do-patti
How to Make Millions Before Grandma Dies,2024,8.0,U,"netflix, amazonprimevideo",2h 5min,"Drama, Comedy",Thailand,https://www.justwatch.com/in/movie/how-to-make-millions-before-grandma-dies
Strange Darling,2024,7.1,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo",1h 37min,"Horror, Mystery & Thriller, Crime",United States,https://www.justwatch.com/in/movie/strange-darling
Sam Bahadur,2023,7.7,UA,"zee5, vimoviesandtv, amazonprimevideo",2h 30min,"Drama, War & Military, History",India,https://www.justwatch.com/in/movie/sam-bahadur
"The Gangster, the Cop, the Devil",2019,7.0,Age rating not found,amazonprimevideo,1h 50min,"Mystery & Thriller, Crime, Action & Adventure",South Korea,https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
Idiyan Chandhu,2024,4.8,UA,"amazonprimevideo, amazonprimevideo, amazonprimevideo",2h 0min,"Comedy, Drama",India,https://www.justwatch.com/in/movie/idiyan-chandhu
Golam,2024,7.2,UA,"amazonprimevideo, amazonprimevideo, amazonprimevideo",2h 0min,"Crime, Mystery & Thriller",India,https://www.justwatch.com/in/movie/golam
Dangal,2016,8.3,U,"itunes, amazon, itunes, amazonprimevideo, itunes",2h 41min,"Comedy, Action & Adventure, Drama, Kids & Family, Sport","United States, India",https://www.justwatch.com/in/movie/dangal
Rocket Driver,2024,7.0,U,"amazonprimevideo, amazonprimevideo, aha, amazonprimevideo",1h 43min,Comedy,India,https://www.justwatch.com/in/movie/rocket-driver
John Wick,2014,7.4,Age rating not found,"itunes, lionsgateplay, appletvlionsgateplay, amazonprimevideo, amazonlionsgateplay, itunes, itunes",1h 41min,"Mystery & Thriller, Action & Adventure, Crime",United States,https://www.justwatch.com/in/movie/john-wick
Love Actually,2003,7.6,UA,"amazon, amazonprimevideo",2h 15min,"Drama, Comedy, Romance","United Kingdom, United States, France",https://www.justwatch.com/in/movie/love-actually
A Dog's Purpose,2017,8.2,U,"filmbox, amazonprimevideo",1h 40min,"Action & Adventure, Comedy, Fantasy, Kids & Family, Drama","Canada, India, United States",https://www.justwatch.com/in/movie/a-dogs-purpose
