,movies_title,release_year,imdb_rating,age_rating,stream_provider,runtime,genre_list,movie_prod_country,movie_url
20,Deadpool & Wolverine,2024,7.6,A,"itunes, hotstar, itunes, amazonprimevideo, amazon, itunes",2h 8min,"Comedy, Science-Fiction, Action & Adventure",United States,https://www.justwatch.com/in/movie/deadpool-3
21,Sikandar Ka Muqaddar,2024,6.0,NA,"netflix, amazonprimevideo",2h 23min,"Mystery & Thriller, Action & Adventure, Crime, Drama",India,https://www.justwatch.com/in/movie/sikandar-ka-muqaddar
22,Jigra,2024,6.2,NA,"netflix, amazonprimevideo",2h 35min,"Drama, Mystery & Thriller, Action & Adventure",India,https://www.justwatch.com/in/movie/jigra-2024
23,Thangalaan,2024,6.8,UA,"netflix, amazonprimevideo",2h 36min,"Action & Adventure, Fantasy, History, Drama",India,https://www.justwatch.com/in/movie/thangalaan
24,Vettaiyan,2024,7.1,UA,"amazonprimevideo, amazonprimevideo, amazon, amazonprimevideo",2h 43min,"Crime, Drama, Action & Adventure",India,https://www.justwatch.com/in/movie/vettaiyan
25,Zebra,2024,8.3,NA,"aha, amazonprimevideo",2h 44min,"Action & Adventure, Mystery & Thriller, Crime",India,https://www.justwatch.com/in/movie/zebra
26,Alien: Romulus,2024,7.1,A,"itunes, itunes, amazon, amazonprimevideo, itunes",1h 59min,"Horror, Science-Fiction, Mystery & Thriller","Australia, New Zealand, Canada, United Kingdom, United States, Hungary",https://www.justwatch.com/in/movie/alien-romulus
27,Salaar,2023,6.6,A,"vimoviesandtv, hotstar, amazonprimevideo, netflix, bookmyshow",2h 55min,"Crime, Drama, Mystery & Thriller, Action & Adventure",India,https://www.justwatch.com/in/movie/salaar
28,Gladiator,2000,8.5,NA,"amazonprimevideo, itunes, amazonprimevideo, zee5, amazonprimevideo, amazon, itunes, hungamaplay, itunes",2h 35min,"Action & Adventure, Drama","United Kingdom, United States",https://www.justwatch.com/in/movie/gladiator
29,Mufasa: The Lion King,2024,6.8,NA,"bookmyshow, amazonprimevideo",1h 58min,"Drama, Kids & Family, Fantasy, Animation, Action & Adventure",United States,https://www.justwatch.com/in/movie/mufasa-the-lion-king
30,Bougainvillea,2024,6.4,UA,"sonyliv, amazonprimevideo",2h 18min,"Mystery & Thriller, Action & Adventure, Crime",India,https://www.justwatch.com/in/movie/bougainvillea
31,We Live in Time,2024,7.0,NA,"itunes, amazon, itunes, amazonprimevideo, itunes",1h 48min,"Drama, Romance","United Kingdom, France",https://www.justwatch.com/in/movie/we-live-in-time
32,Anora,2024,8.0,NA,amazonprimevideo,2h 19min,"Romance, Comedy, Drama",United States,https://www.justwatch.com/in/movie/anora
33,The Sabarmati Report,2024,6.6,UA,"bookmyshow, amazonprimevideo",2h 7min,"Drama, Mystery & Thriller",India,https://www.justwatch.com/in/movie/the-sabarmati-report
34,Martin,2024,2.4,UA,"amazonprimevideo, amazonprimevideo, aha, amazonprimevideo",2h 27min,"Mystery & Thriller, Action & Adventure, Drama",India,https://www.justwatch.com/in/movie/martin
35,365 Days,2020,3.3,NA,"netflix, amazonprimevideo",1h 54min,"Drama, Romance, Made in Europe",Poland,https://www.justwatch.com/in/movie/365-days
36,KA,2024,7.2,NA,"bookmyshow, amazonprimevideo",2h 31min,"Action & Adventure, Mystery & Thriller",India,https://www.justwatch.com/in/movie/ka-2024
