,tv_title,release_year,Imdb_rating,age_rating,stream_provider,runtime,genre_list,tv_prod_country,tv_show_url
85,Peaky Blinders,2013,8.7,A,"netflix, amazonprimevideo",58min,"Drama, Crime",United Kingdom,https://www.justwatch.com/in/tv-show/peaky-blinders
86,Beast Games,2024,5.9,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo, amazonprimevideo",46min,Reality TV,United States,https://www.justwatch.com/in/tv-show/beast-games
87,Cobra Kai,2018,8.4,NA,"netflix, amazonprimevideo",35min,"Action & Adventure, Drama, Comedy, Sport",United States,https://www.justwatch.com/in/tv-show/cobra-kai
88,Bleach: Thousand-Year Blood War,2022,9.0,NA,"amazonprimevideo, hotstar, netflix, amazonprimevideo, amazonanimetimes, jiocinema, amazonprimevideo",24min,"Fantasy, Animation, Action & Adventure",Japan,https://www.justwatch.com/in/tv-show/bleach-thousand-year-blood-war
89,Lost,2004,8.3,U,amazonprimevideo,43min,"Mystery & Thriller, Action & Adventure, Drama, Fantasy, Science-Fiction",United States,https://www.justwatch.com/in/tv-show/lost
90,Naruto,2002,8.4,NA,"amazonprimevideo, netflix, amazonanimetimes, amazonprimevideo, amazonprimevideo",23min,"Action & Adventure, Science-Fiction, Animation, Comedy, Fantasy",Japan,https://www.justwatch.com/in/tv-show/naruto
91,The Sex Lives of College Girls,2021,7.8,A,"jiocinema, amazonprimevideo",29min,"Comedy, Drama",United States,https://www.justwatch.com/in/tv-show/the-sex-lives-of-college-girls
92,Outlander,2014,8.3,A,"netflix, amazonprimevideo",1h 0min,"Drama, Fantasy, Romance, Science-Fiction",United States,https://www.justwatch.com/in/tv-show/outlander
93,The Family Man,2019,8.7,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo, amazonprimevideo",45min,"Action & Adventure, Comedy, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/the-family-man
94,Lucifer,2016,8.0,U,"netflix, amazonprimevideo",47min,"Science-Fiction, Crime, Drama, Fantasy",United States,https://www.justwatch.com/in/tv-show/lucifer
95,Stranger Things,2016,8.7,NA,"netflix, amazonprimevideo",1h 1min,"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama, Fantasy, Horror",United States,https://www.justwatch.com/in/tv-show/stranger-things
96,Inspector Rishi,2024,7.2,A,"amazonprimevideo, amazonprimevideo, amazonprimevideo, amazonprimevideo",45min,"Drama, Horror, Action & Adventure, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/inspector-rishi
97,Bandish Bandits,2020,8.6,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo, amazonprimevideo",46min,"Drama, Music & Musical, Romance",India,https://www.justwatch.com/in/tv-show/bandish-bandits
98,Mr. Plankton,2024,8.1,NA,"netflix, amazonprimevideo",1h 2min,"Drama, Comedy, Romance",South Korea,https://www.justwatch.com/in/tv-show/mr-plankton
99,Raising Voices,2024,7.2,A,"netflix, amazonprimevideo",46min,Drama,Spain,https://www.justwatch.com/in/tv-show/raising-voices
